customer_id,name,email,total_spend,social_handle,success,reason
618,Jennifer Hill,jennifer.hill@company.com,6862.780000000001,@jennifer_hill_social,true,pushed_ok
187,Mark Scott,mark_scott@yahoo.com,5620.63,@mark_scott_social,true,pushed_ok
E881,Charles Martinez,charles.martinez@outlook.com,5177.03,@charles_martinez_social,true,pushed_ok
B866,Jennifer Wilson,,4907.97,,false,missing_email
E327,Nancy Hill,nancy.hill@outlook.com,4755.03,@nancy_hill_social,true,pushed_ok
346,Barbara Rodriguez,notfound17@example.com,4469.87,,false,no_profile
A212,James Lewis,notfound10@example.com,4262.08,,false,no_profile
D362,Joshua Jackson,joshua_jackson@outlook.com,4189.44,@joshua_jackson_social,true,pushed_ok
818,Daniel Davis,danieldavis@outlook.com,4172.360000000001,@danieldavis_social,true,pushed_ok
B538,Joseph Anderson,joseph.anderson@hotmail.com,4092.27,@joseph_anderson_social,true,pushed_ok
872,Linda Hernandez,linda_hernandez@company.com,4054.54,@linda_hernandez_social,true,pushed_ok
707,Helen Flores,helen_flores@yahoo.com,3852.62,@helen_flores_social,true,pushed_ok
784,Joseph Ramirez,joseph_ramirez@outlook.com,3841.23,@joseph_ramirez_social,true,pushed_ok
513,Donna Wright,,3710.25,,false,missing_email
C383,Sharon King,sharon.king@example.com,3624.7799999999997,@sharon_king_social,true,pushed_ok
903,Richard Sanchez,richard.sanchez@gmail.com,3555.8199999999997,@richard_sanchez_social,true,pushed_ok
274,Karen Davis,notfound15@example.com,3494.7200000000003,,false,no_profile
D501,Ruth Flores,notfound3@example.com,3485.63,,false,no_profile
668,Ruth Ramirez,ruth_ramirez@yahoo.com,3385.38,@ruth_ramirez_social,true,pushed_ok
207,Carol Robinson,carol_robinson@gmail.com,3258.36,@carol_robinson_social,true,pushed_ok
C854,Patricia Robinson,patricia.robinson@outlook.com,3205.25,@patricia_robinson_social,true,pushed_ok
501,Carol Harris,carolharris@hotmail.com,3179.67,@carolharris_social,true,pushed_ok
930,Donna Martinez,donna.martinez@yahoo.com,3171.5699999999997,@donna_martinez_social,true,pushed_ok
E342,Anthony White,notfound1@example.com,3160.34,,false,no_profile
B173,John Garcia,johngarcia@hotmail.com,3048.3,@johngarcia_social,true,pushed_ok
995,John Thompson,john_thompson@yahoo.com,3028.54,@john_thompson_social,true,pushed_ok
453,Paul Anderson,paul_anderson@example.com,2944.01,@paul_anderson_social,true,pushed_ok
215,Elizabeth Brown,elizabeth_brown@company.com,2895.41,@elizabeth_brown_social,true,pushed_ok
809,Betty Hill,bettyhill@hotmail.com,2862.29,@bettyhill_social,true,pushed_ok
146,Christopher Sanchez,christophersanchez@company.com,2840.71,@christophersanchez_social,true,pushed_ok
108,William Allen,notfound21@example.com,2665.54,,false,no_profile
182,Jennifer Flores,notfound27@example.com,2645.56,,false,no_profile
861,Barbara Martin,barbara_martin@gmail.com,2627.89,@barbara_martin_social,true,pushed_ok
795,Linda Clark,notfound30@example.com,2605.8799999999997,,false,no_profile
676,Mark Lewis,marklewis@hotmail.com,2473.18,@marklewis_social,true,pushed_ok
999,Linda Lee,linda_lee@company.com,2465.59,@linda_lee_social,true,pushed_ok
505,William Martin,william.martin@hotmail.com,2431.1099999999997,@william_martin_social,true,pushed_ok
E826,Michael Moore,michaelmoore@outlook.com,2423.8,@michaelmoore_social,true,pushed_ok
789,Helen Martinez,helenmartinez@outlook.com,2418.33,@helenmartinez_social,true,pushed_ok
694,David Perez,davidperez@yahoo.com,2418.25,@davidperez_social,true,pushed_ok
646,Robert Walker,robertwalker@example.com,2369.11,@robertwalker_social,true,pushed_ok
B353,Barbara Smith,barbarasmith@yahoo.com,2295.6099999999997,@barbarasmith_social,true,pushed_ok
231,Betty Sanchez,notfound11@example.com,2234.5,,false,no_profile
B299,Donna Lewis,donna.lewis@hotmail.com,2222.48,@donna_lewis_social,true,pushed_ok
B172,Sandra Ramirez,sandra_ramirez@outlook.com,2212.16,@sandra_ramirez_social,true,pushed_ok
175,Patricia Anderson,patricia_anderson@hotmail.com,2197.9300000000003,@patricia_anderson_social,true,pushed_ok
470,Joshua Brown,joshua_brown@yahoo.com,2148.38,@joshua_brown_social,true,pushed_ok
B372,Anthony King,notfound25@example.com,2147.35,,false,no_profile
782,Jennifer Brown,jennifer.brown@hotmail.com,2104.5899999999997,@jennifer_brown_social,true,pushed_ok
B565,Nancy Allen,nancyallen@outlook.com,2057.2400000000002,@nancyallen_social,true,pushed_ok
201,Betty King,betty.king@company.com,2013.1200000000001,@betty_king_social,true,pushed_ok
479,Betty King,bettyking@example.com,1971.16,@bettyking_social,true,pushed_ok
C397,William Harris,william.harris@hotmail.com,1954.92,@william_harris_social,true,pushed_ok
C375,Daniel Hill,daniel.hill@yahoo.com,1950.23,@daniel_hill_social,true,pushed_ok
B400,Nancy Wright,nancy_wright@company.com,1925.11,@nancy_wright_social,true,pushed_ok
364,Sandra Johnson,sandrajohnson@outlook.com,1877.65,@sandrajohnson_social,true,pushed_ok
D145,Jessica Gonzalez,jessica.gonzalez@company.com,1865.62,@jessica_gonzalez_social,true,pushed_ok
448,Joshua Flores,notfound8@example.com,1791.23,,false,no_profile
125,Ruth Hernandez,,1783.04,,false,missing_email
B761,Steven Lee,stevenlee@outlook.com,1766.05,@stevenlee_social,true,pushed_ok
E833,Mark Miller,mark_miller@company.com,1764.8,@mark_miller_social,true,pushed_ok
A254,Jessica Wilson,jessicawilson@example.com,1728.92,@jessicawilson_social,true,pushed_ok
933,Betty Williams,betty_williams@company.com,1703.32,@betty_williams_social,true,pushed_ok
306,Michelle Hill,michelle.hill@gmail.com,1701.77,@michelle_hill_social,true,pushed_ok
